zonnetijd,jan,feb,maa,apr,mei,jun,jul,aug,sept,okt,nov,dec
4,0,0,0,0,0,52.8,53.6,0,0,0,0,0
5,0,0,0,0,66.9,64.2,65.1,69.6,0,0,0,0
6,0,0,0,84.1,78.2,75.2,76.3,81.2,88,0,0,0
7,0,0,0,96,89.7,86.5,87.6,92.9,99.9,0,0,0
8,0,0,0,108.6,102.1,98.6,99.8,105.4,112.5,0,0,0
9,0,0,0,122.7,116.3,112.5,113.9,119.6,126.4,0,0,0
10,0,0,0,139.2,133.5,129.9,131.3,135.5,142.3,0,0,0
11,0,0,0,158.5,154.9,152.5,153.4,156.9,160.4,0,0,0
12,0,0,0,180,180,180,180,180,180,0,0,0
13,0,0,0,201.5,205.1,207.5,206.6,203.1,199.6,0,0,0
14,0,0,0,220.8,226.5,230.1,228.7,223.5,217.7,0,0,0
15,0,0,0,237.3,243.7,247.5,246.1,240.4,233.6,0,0,0
16,0,0,0,251.4,257.9,261.4,260.2,254.6,247.5,0,0,0
17,0,0,0,264,270.3,273.5,272.4,267.1,260.1,0,0,0
18,0,0,0,275.9,281.8,284.8,283.7,278.8,272,0,0,0
19,0,0,0,0,0,295.8,294.9,290.4,0,0,0,0
20,0,0,0,0,0,307.2,306.4,0,0,0,0,0